brand,3G,4G,5G,Announced,Status,Weight,Length,Width,Diameter,SIM,Display Type,Display Size,ppi,body ratio,OS,battery_capacity,Price,CPU,ratio,pixel,GPU,Loudspeaker,3.5mm jack,Chipset,Card slot,RAM,Storage
0,True,True,False,2015.0,2,173.0,151.9,77.8,9.5,0,1,5.5,267.0,70.6,0,2500.0,130.0,4.0,1,921600.0,0,True,True,7,6,2.0,16.0
0,True,True,False,2015.0,2,140.0,145.8,70.4,9.0,0,1,5.0,294.0,67.1,0,3000.0,230.0,8.0,1,921600.0,3,True,True,4,7,2.0,16.0
0,True,True,False,2015.0,2,144.9,133.6,65.3,9.9,0,5,4.5,245.0,64.0,0,2000.0,130.0,4.0,1,518400.0,3,True,True,4,6,1.0,4.0
0,True,True,False,2015.0,2,141.0,152.7,75.1,7.4,0,1,5.5,401.0,72.7,0,2910.0,250.0,8.0,1,2073600.0,0,False,True,7,7,2.0,16.0
0,True,True,False,2015.0,2,110.0,134.6,65.9,7.6,0,1,4.7,312.0,68.7,0,2000.0,200.0,4.0,1,921600.0,0,False,True,7,7,1.5,8.0
0,True,False,False,2015.0,2,335.0,209.0,124.0,9.2,0,5,8.0,189.0,71.6,0,3240.0,100.0,2.0,0,1024000.0,3,True,True,4,6,1.0,4.0
0,True,True,False,2015.0,2,260.0,191.0,109.0,9.2,0,5,7.0,170.0,66.2,0,2820.0,130.0,4.0,1,614400.0,0,True,True,7,6,1.0,4.0
0,True,False,False,2015.0,2,260.0,189.0,111.0,9.1,0,5,7.0,170.0,65.7,0,2820.0,100.0,2.0,1,614400.0,3,True,True,4,6,0.5,4.0
0,True,True,False,2015.0,2,380.0,245.2,146.4,7.9,0,1,9.6,157.0,74.4,0,4600.0,250.0,4.0,0,1024000.0,0,True,True,7,6,1.0,8.0
0,True,True,False,2015.0,2,125.0,132.2,65.1,10.0,0,5,4.5,218.0,64.8,0,1400.0,60.0,2.0,1,409920.0,3,True,True,4,6,0.5,4.0
0,True,True,False,2015.0,2,110.0,121.3,64.2,11.6,0,5,4.0,233.0,58.5,0,1400.0,50.0,2.0,10,384000.0,3,True,True,4,6,0.5,4.0
0,True,False,False,2015.0,2,98.0,112.2,62.0,11.9,1,5,3.5,165.0,52.4,5,1300.0,40.0,2.0,7,153600.0,3,True,True,4,6,0.25,0.5
0,True,False,False,2014.0,2,114.0,121.6,64.4,12.1,0,5,4.0,233.0,58.2,0,1400.0,130.0,2.0,10,384000.0,0,True,True,7,6,0.5,4.0
0,True,False,False,2014.0,2,101.0,112.2,62.0,12.0,1,5,3.5,165.0,52.4,0,1300.0,80.0,2.0,7,153600.0,0,True,True,7,6,0.5,4.0
0,True,False,False,2014.0,2,149.0,141.0,72.1,9.9,0,1,5.0,220.0,67.8,0,2000.0,120.0,4.0,1,518400.0,0,True,True,7,6,1.0,4.0
0,True,True,False,2014.0,2,147.0,132.5,65.4,9.9,0,5,4.5,218.0,64.4,0,2000.0,180.0,4.0,1,409920.0,0,True,True,7,6,1.0,8.0
0,True,True,False,2014.0,2,147.0,132.5,65.4,10.0,0,5,4.5,218.0,64.4,0,2000.0,130.0,4.0,1,409920.0,0,True,True,7,6,1.0,8.0
0,True,False,False,2014.0,2,149.1,141.0,71.9,9.9,0,1,5.0,220.0,68.0,0,2000.0,90.0,4.0,1,518400.0,0,True,True,7,6,1.0,4.0
0,True,False,False,2014.0,2,121.1,121.6,64.5,11.7,0,1,4.0,233.0,58.1,0,1400.0,60.0,2.0,10,384000.0,0,True,True,7,6,0.5,4.0
